Pool Price

""

Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
"09/24/2026 18","-","-","-"
"09/24/2026 17","48.47","-","10458.0"
"09/24/2026 16","37.51","-","10347.0"
"09/24/2026 15","51.99","-","10258.0"
"09/24/2026 14","46.54","-","10269.0"
"09/24/2026 13","38.36","-","10181.0"
"09/24/2026 12","-","-","10155.0"
"09/24/2026 11","36.71","35.25","10118.0"
"09/24/2026 10","49.27","35.23","10067.0"
"09/24/2026 09","72.29","35.20","10018.0"
"09/24/2026 08","91.83","35.13","9963.0"
"09/24/2026 07","95.12","35.04","9655.0"
"09/24/2026 06","70.64","34.98","9304.0"
"09/24/2026 05","32.73","34.94","9144.0"
"09/24/2026 04","31.78","34.97","9058.0"
"09/24/2026 03","29.72","35.03","9117.0"
"09/24/2026 02","28.84","35.11","9143.0"
"09/24/2026 01","29.25","35.20","9264.0"
"09/23/2026 24","28.69","35.48","9460.0"
"09/23/2026 23","25.63","35.98","9713.0"
"09/23/2026 22","31.77","37.24","10019.0"
"09/23/2026 21","80.13","38.53","10261.0"
"09/23/2026 20","74.61","39.75","10176.0"
"09/23/2026 19","55.76","40.52","10219.0"

